id;wins;totalChampionKills
100706;1006;9646
100707;1565;17985
100709;1107;18942
100710;1724;20306
100712;968;12683
100715;570;8175
100718;1087;11634
100719;295;3396
100720;1577;26495
100725;1205;15610
100728;650;9814
100729;783;8944
100730;1188;13723
100735;533;6058
100737;775;7593
100739;430;4334
100740;485;6512
100746;1202;16075
100747;1216;16114
100750;1359;13672
100751;746;8780
100753;1223;4564
100754;780;11722
100755;1757;20392
100756;601;8696
100759;543;9533
100760;759;13153
100761;1069;14252
100762;466;5673
100768;3047;47870
100770;863;13145
100771;680;9513
100773;760;9806
100776;388;4963
100778;950;13665
100781;1939;24097
100782;1210;15998
100786;1934;35070
100789;691;6996
100790;1473;22377
100792;407;5063
100794;549;7625
100796;508;5175
100797;1086;16817
100799;546;8022
100800;824;10488
100801;794;11177
100803;670;7912
100804;1052;12470
100811;115;1404
100812;2285;26716
100813;586;7073
100815;466;5106
100817;622;9684
100819;972;15988
100820;337;4104
100821;735;10486
100826;1382;17721
100827;1002;13357
100829;498;5800
100831;983;14556
100832;197;2635
100834;811;12622
100837;1520;20774
100838;136;1857
100839;338;5168
100840;2255;32808
100842;1183;14003
100844;982;12372
100845;849;10250
100847;509;5033
100848;1811;21853
100849;490;5380
100851;886;9434
100852;445;4827
100856;1099;13147
100857;534;6791
100858;532;5856
100859;435;5981
100860;453;6888
100862;1327;19184
100864;1245;10959
100867;621;7152
100869;1163;15433
100870;804;12181
100872;1383;16538
100874;1020;12675
100880;855;11212
100881;1256;19430
100882;1097;13657
100883;3163;48671
100884;2235;33862
100885;1463;23147
100887;803;9137
100888;1983;37883
100889;499;6877
100890;428;8645
100893;683;9360
100904;941;13218
100905;162;1594
100910;654;7109
100912;781;11964
100914;1395;19988
100915;278;4344
100916;616;6767
100917;1398;23342
100921;1087;13694
100923;1042;13118
100924;323;3701
100929;755;9984
100931;1477;17697
100934;158;2799
100937;487;2593
100938;667;8338
100941;699;10080
100942;1095;12929
100944;780;12038
100946;855;7775
100947;813;10667
100948;738;9011
100950;708;9351
100953;385;1656
100955;1874;24388
100956;1146;14932
100958;951;16715
100959;510;6271
100960;1008;10597
100964;987;11845
100965;258;1614
100966;1499;21044
100967;632;7419
100968;1769;14377
100970;600;7534
100975;1178;19844
100977;547;6938
100978;1036;16316
100979;787;11144
100980;1820;27466
100981;675;8533
100983;1480;21411
100985;841;9574
100991;502;4463
100992;1671;24924
100994;1079;11122
100998;175;2372
101001;839;13734
101002;2030;26887
101003;2285;28958
101004;1117;15286
101005;398;4271
101006;1238;16628
101007;459;6452
101008;1200;21925
101011;1079;9980
101012;1184;13387
101014;631;10108
101016;844;10723
101017;530;7290
101018;1799;21270
101019;1072;12728
101020;241;1603
101022;1205;14930
101024;456;5528
101028;1016;15599
101029;684;11583
101032;195;2790
101035;600;8642
101036;461;4769
101037;566;5865
101038;932;12741
101040;674;3182
101041;920;9783
101043;1789;22766
101045;927;9791
101046;1369;16309
101047;749;8068
101048;709;7495
101049;866;7060
101050;1009;12711
101051;579;9482
101052;1136;11419
101053;1166;19152
101056;571;6398
101057;1674;26270
101058;573;10109
101060;832;7032
101063;915;11965
101064;750;5994
101066;853;12279
101067;1361;12617
101069;1114;19803
101072;1717;23936
101075;991;11643
101077;978;9502
101078;614;6830
101079;437;6221
101081;576;6397
101082;231;3463
101083;1075;14072
101085;2086;20470
101089;198;1407
101090;1133;15327
101091;1209;17901
101095;1107;15406
101099;1258;15637
101100;1685;21148
101101;519;5539
101102;2458;33289
101103;1400;16680
101104;872;11526
101105;436;4811
101108;221;3611
101109;717;9762
101110;1341;21266
101111;1584;15836
101112;242;2429
101113;1415;20665
101114;1758;25394
101117;820;9384
101119;309;4473
101120;881;12316
101122;387;3872
101123;346;4496
101125;1525;16217
101127;394;5874
101128;849;8726
101132;1663;17789
